ProviderNamespace;ResourceType;ModuleDisplayName;ModuleName;ModuleStatus;RepoURL;RegistryURL;TelemetryIdPrefix;PrimaryModuleOwnerGHHandle;PrimaryModuleOwnerDisplayName;ModuleOwnerGHTeam;Description
Microsoft.RecoveryServices;vaults;Recovery Services Vaults;avm-res-recoveryservices-vault;Migrate From CARML;;;46d3xbcp.res.recoveryservices-vault;;;;
Microsoft.Relay;namespaces;Relay Namespaces;avm-res-relay-namespace;Migrate From CARML;;;46d3xbcp.res.relay-namespace;;;;
Microsoft.Resources;deploymentScripts;Deployment Scripts;avm-res-resources-deploymentscript;Migrate From CARML;;;46d3xbcp.res.resources-deploymentscript;;;;
Microsoft.Security;security;Azure Security Center (Defender for Cloud);avm-res-security-security;Migrate From CARML;;;46d3xbcp.res.security-security;;;;
Microsoft.ServiceFabric;clusters;Service Fabric Clusters;avm-res-servicefabric-cluster;Migrate From CARML;;;46d3xbcp.res.servicefabric-cluster;;;;
Microsoft.SignalRService;signalR;SignalR Service SignalR;avm-res-signalrservice-signalr;Migrate From CARML;;;46d3xbcp.res.signalrservice-signalr;;;;
Microsoft.SignalRService;webPubSub;SignalR Web PubSub Services;avm-res-signalrservice-webpubsub;Migrate From CARML;;;46d3xbcp.res.signalrservice-webpubsub;;;;
Microsoft.Sql;servers;Azure SQL Servers;avm-res-sql-server;Migrate From CARML;;;46d3xbcp.res.sql-server;;;;
Microsoft.Synapse;privateLinkHubs;Azure Synapse Analytics;avm-res-synapse-privatelinkhub;Migrate From CARML;;;46d3xbcp.res.synapse-privatelinkhub;;;;
Microsoft.Synapse;workspaces;Synapse Workspaces;avm-res-synapse-workspace;Migrate From CARML;;;46d3xbcp.res.synapse-workspace;;;;
Microsoft.Web;connectionGateways;API Connections;avm-res-web-connectiongateway;Migrate From CARML;;;46d3xbcp.res.web-connectiongateway;;;;
Microsoft.Web;hostingEnvironments;App Service Environments;avm-res-web-hostingenvironment;Migrate From CARML;;;46d3xbcp.res.web-hostingenvironment;;;;
