ProviderNamespace,ResourceType,ModuleDisplayName,AlternativeNames,ModuleName,ParentModule,ModuleStatus,RepoURL,PublicRegistryReference,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,Description,Comments,FirstPublishedIn
Microsoft.Compute,virtualMachineScaleSets,Virtual Machine Scale Set,VMSS,avm-res-compute-virtualmachinescaleset,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-compute-virtualmachinescaleset,https://registry.terraform.io/modules/Azure/avm-res-compute-virtualmachinescaleset/azurerm/latest,terrymandin,Terry Mandin,marcelkmfst,Marcel Keller,AVM Resource Module for Virtual Machine Scale Set,,2024-02
Microsoft.Consumption,budgets,Consumption Budget,,avm-res-consumption-budget,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-consumption-budget,https://registry.terraform.io/modules/Azure/avm-res-consumption-budget/azurerm/latest,Akashc0807,Akash Choudhary,,,AVM Resource Module for Consumption Budget,,
Microsoft.ContainerInstance,containerGroups,Container Instance,,avm-res-containerinstance-containergroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-containerinstance-containergroup,https://registry.terraform.io/modules/Azure/avm-res-containerinstance-containergroup/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for Container Instance,,2024-07
Microsoft.ContainerRegistry,registries,Azure Container Registry (ACR),,avm-res-containerregistry-registry,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-containerregistry-registry,https://registry.terraform.io/modules/Azure/avm-res-containerregistry-registry/azurerm/latest,Akashc0807,Akash Choudhary,,,AVM Resource Module for Azure Container Registry (ACR),,2024-02
Microsoft.ContainerService,fleets,AKS Fleet,,avm-res-containerservice-fleet,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-containerservice-fleet,https://registry.terraform.io/modules/Azure/avm-res-containerservice-fleet/azurerm/latest,didayal-msft,Divyadeep Dayal,amruta53,Amruta Kulkarni,AVM Resource Module for AKS Fleet,,
Microsoft.ContainerService,managedClusters,AKS Managed Cluster,,avm-res-containerservice-managedcluster,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-containerservice-managedcluster,https://registry.terraform.io/modules/Azure/avm-res-containerservice-managedcluster/azurerm/latest,ibersanoMS,Isabelle Bersano,,,AVM Resource Module for AKS Managed Cluster,,2024-11
Microsoft.Dashboard,grafana,Azure Managed Grafana,,avm-res-dashboard-grafana,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-dashboard-grafana,https://registry.terraform.io/modules/Azure/avm-res-dashboard-grafana/azurerm/latest,khajour,Abdelaziz Khajour,,,AVM Resource Module for Azure Managed Grafana,,
Microsoft.Databricks,accessConnectors,Azure Databricks Access Connector,,avm-res-databricks-accessconnector,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-databricks-accessconnector,https://registry.terraform.io/modules/Azure/avm-res-databricks-accessconnector/azurerm/latest,,,,,AVM Resource Module for Azure Databricks Access Connector,,
Microsoft.Databricks,workspaces,Azure Databricks Workspace,,avm-res-databricks-workspace,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-databricks-workspace,https://registry.terraform.io/modules/Azure/avm-res-databricks-workspace/azurerm/latest,segraef,Sebastian Graef,,,AVM Resource Module for Azure Databricks Workspace,,2024-03
Microsoft.DataFactory,factories,Data Factory,,avm-res-datafactory-factory,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-datafactory-factory,https://registry.terraform.io/modules/Azure/avm-res-datafactory-factory/azurerm/latest,asishr,Asish R,,,AVM Resource Module for Data Factory,,2025-04
Microsoft.DataProtection,backupVaults,Data Protection Backup Vault,,avm-res-dataprotection-backupvault,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-dataprotection-backupvault,https://registry.terraform.io/modules/Azure/avm-res-dataprotection-backupvault/azurerm/latest,ethanjenkins1,Ethan Jenkins,,,AVM Resource Module for Data Protection Backup Vault,,2025-05
Microsoft.DataProtection,resourceGuards,Data Protection Resource Guard,,avm-res-dataprotection-resourceguard,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-dataprotection-resourceguard,https://registry.terraform.io/modules/Azure/avm-res-dataprotection-resourceguard/azurerm/latest,WenAI2020,Wen Tian,,,AVM Resource Module for Data Protection Resource Guard,,2025-07
Microsoft.DBforMySQL,flexibleServers,DB for MySQL Flexible Server,,avm-res-dbformysql-flexibleserver,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-dbformysql-flexibleserver,https://registry.terraform.io/modules/Azure/avm-res-dbformysql-flexibleserver/azurerm/latest,elsalvos,Cesar Abrego,,,AVM Resource Module for DB for MySQL Flexible Server,,2024-09
Microsoft.DBforPostgreSQL,flexibleServers,DB for Postgre SQL Flexible Server,,avm-res-dbforpostgresql-flexibleserver,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-dbforpostgresql-flexibleserver,https://registry.terraform.io/modules/Azure/avm-res-dbforpostgresql-flexibleserver/azurerm/latest,zaidmohd,Zaid Mohammad,,,AVM Resource Module for DB for Postgre SQL Flexible Server,,2024-09
Microsoft.DesktopVirtualization,applicationGroups,Azure Virtual Desktop (AVD) Application Group,,avm-res-desktopvirtualization-applicationgroup,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-desktopvirtualization-applicationgroup,https://registry.terraform.io/modules/Azure/avm-res-desktopvirtualization-applicationgroup/azurerm/latest,jensheerin,Jen Sheerin,sihbher,Gerardo Reyes,AVM Resource Module for Azure Virtual Desktop (AVD) Application Group,,2023-12
Microsoft.DesktopVirtualization,hostPools,Azure Virtual Desktop (AVD) Host Pool,,avm-res-desktopvirtualization-hostpool,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-desktopvirtualization-hostpool,https://registry.terraform.io/modules/Azure/avm-res-desktopvirtualization-hostpool/azurerm/latest,jensheerin,Jen Sheerin,sihbher,Gerardo Reyes,AVM Resource Module for Azure Virtual Desktop (AVD) Host Pool,,2023-10
Microsoft.DesktopVirtualization,scalingPlans,Azure Virtual Desktop (AVD) Scaling Plan,,avm-res-desktopvirtualization-scalingplan,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-desktopvirtualization-scalingplan,https://registry.terraform.io/modules/Azure/avm-res-desktopvirtualization-scalingplan/azurerm/latest,jensheerin,Jen Sheerin,sihbher,Gerardo Reyes,AVM Resource Module for Azure Virtual Desktop (AVD) Scaling Plan,,2023-12
Microsoft.DesktopVirtualization,workspaces,Azure Virtual Desktop (AVD) Workspace,,avm-res-desktopvirtualization-workspace,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-desktopvirtualization-workspace,https://registry.terraform.io/modules/Azure/avm-res-desktopvirtualization-workspace/azurerm/latest,jensheerin,Jen Sheerin,sihbher,Gerardo Reyes,AVM Resource Module for Azure Virtual Desktop (AVD) Workspace,,2023-12
Microsoft.DevCenter,devcenters,Dev Center,,avm-res-devcenter-devcenter,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-devcenter-devcenter,https://registry.terraform.io/modules/Azure/avm-res-devcenter-devcenter/azurerm/latest,abhishekaryams,Abhishek Arya,,,AVM Resource Module for Dev Center,,2024-10
Microsoft.DeviceRegistry,assetEndpointProfiles,Device Registry Asset Endpoint Profile,,avm-res-deviceregistry-assetendpointprofile,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-deviceregistry-assetendpointprofile,https://registry.terraform.io/modules/Azure/avm-res-deviceregistry-assetendpointprofile/azurerm/latest,lonegunmanb,Zijie He,,,AVM Resource Module for Device Registry Asset Endpoint Profile,,
Microsoft.DevOpsInfrastructure,Pools,DevOps Pools,,avm-res-devopsinfrastructure-pool,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-devopsinfrastructure-pool,https://registry.terraform.io/modules/Azure/avm-res-devopsinfrastructure-pool/azurerm/latest,jaredfholgate,Jared Holgate,,,AVM Resource Module for DevOps Pools,,2024-08
Microsoft.DevTestLab,labs,DevTest Lab,,avm-res-devtestlab-lab,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-devtestlab-lab,https://registry.terraform.io/modules/Azure/avm-res-devtestlab-lab/azurerm/latest,sharmilamusunuru,Sharmila Musunuru,,,AVM Resource Module for DevTest Lab,,
Microsoft.DigitalTwins,digitalTwinsInstances,Digital Twins Instance,,avm-res-digitaltwins-digitaltwinsinstance,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-digitaltwins-digitaltwinsinstance,https://registry.terraform.io/modules/Azure/avm-res-digitaltwins-digitaltwinsinstance/azurerm/latest,,,,,AVM Resource Module for Digital Twins Instance,,
Microsoft.DocumentDB,databaseAccount,CosmosDB Database Account,,avm-res-documentdb-databaseaccount,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-documentdb-databaseaccount,https://registry.terraform.io/modules/Azure/avm-res-documentdb-databaseaccount/azurerm/latest,cmaneu,Christopher Maneu,,,AVM Resource Module for CosmosDB Database Account,,2024-08
Microsoft.DocumentDB,mongoClusters,Cosmos DB for MongoDB (vCore),,avm-res-documentdb-mongocluster,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-documentdb-mongocluster,https://registry.terraform.io/modules/Azure/avm-res-documentdb-mongocluster/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Cosmos DB for MongoDB (vCore),,2025-08
Microsoft.Edge,sites,Azure Arc Site manager,,avm-res-edge-site,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-edge-site,https://registry.terraform.io/modules/Azure/avm-res-edge-site/azurerm/latest,chirag1603,Chirag Choudha,,,AVM Resource Module for Azure Arc Site manager,,2024-08
Microsoft.EventGrid,domains,Event Grid Domain,,avm-res-eventgrid-domain,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-eventgrid-domain,https://registry.terraform.io/modules/Azure/avm-res-eventgrid-domain/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Event Grid Domain,,2026-01
Microsoft.EventGrid,namespaces,Event Grid Namespace,,avm-res-eventgrid-namespace,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-eventgrid-namespace,https://registry.terraform.io/modules/Azure/avm-res-eventgrid-namespace/azurerm/latest,dassbernd,Berna Sandalli,,,AVM Resource Module for Event Grid Namespace,,2026-02
Microsoft.EventGrid,systemTopics,Event Grid System Topic,,avm-res-eventgrid-systemtopic,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-eventgrid-systemtopic,https://registry.terraform.io/modules/Azure/avm-res-eventgrid-systemtopic/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Event Grid System Topic,,
Microsoft.EventGrid,topics,Event Grid Topic,,avm-res-eventgrid-topic,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-eventgrid-topic,https://registry.terraform.io/modules/Azure/avm-res-eventgrid-topic/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for Event Grid Topic,,2026-01
Microsoft.EventHub,namespaces,Event Hub Namespace,,avm-res-eventhub-namespace,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-eventhub-namespace,https://registry.terraform.io/modules/Azure/avm-res-eventhub-namespace/azurerm/latest,rcavaturu,Raja Kalyan Ram Cavaturu,,,AVM Resource Module for Event Hub Namespace,,2025-04
Microsoft.Features,features,Azure Feature Exposure Control (AFEC),,avm-res-features-feature,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-features-feature,https://registry.terraform.io/modules/Azure/avm-res-features-feature,lonegunmanb,Zijie He,,,AVM Resource Module for Azure Feature Exposure Control (AFEC),,2025-11
Microsoft.HealthBot,healthBots,Azure Health Bot,,avm-res-healthbot-healthbot,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-healthbot-healthbot,https://registry.terraform.io/modules/Azure/avm-res-healthbot-healthbot/azurerm/latest,,,,,AVM Resource Module for Azure Health Bot,,
Microsoft.HybridCompute,machines,Hybrid Compute Machine,,avm-res-hybridcompute-machine,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-hybridcompute-machine,https://registry.terraform.io/modules/Azure/avm-res-hybridcompute-machine/azurerm/latest,,,,,AVM Resource Module for Hybrid Compute Machine,,
Microsoft.HybridContainerService,provisionedClusterInstances,AKS Arc,,avm-res-hybridcontainerservice-provisionedclusterinstance,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-hybridcontainerservice-provisionedclusterinstance,https://registry.terraform.io/modules/Azure/avm-res-hybridcontainerservice-provisionedclusterinstance/azurerm/latest,chirag1603,Chirag Choudha,,,AVM Resource Module for AKS Arc,,2024-08
Microsoft.Insights,actionGroups,Action Group,,avm-res-insights-actiongroup,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-insights-actiongroup,https://registry.terraform.io/modules/Azure/avm-res-insights-actiongroup/azurerm/latest,arjenhuitema,Arjen Huitema,Brunoga-MS,Bruno Gabrielli,AVM Resource Module for Action Group,,
Microsoft.Insights,activityLogAlerts,Activity log alerts,,avm-res-insights-activitylogalert,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-insights-activitylogalert,https://registry.terraform.io/modules/Azure/avm-res-insights-activitylogalert/azurerm/latest,tagolovina,Tanya Golovina,,,AVM Resource Module for Activity log alerts,,
