ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Management Groups - Subscription Placement,,avm/ptn/mgmt-groups/subscription-placement,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/mgmt-groups/subscription-placement,br/public:avm/ptn/mgmt-groups/subscription-placement:X.Y.Z,46d3xbcp.ptn.mgmtgroup-subplacement,oZakari,Zach Trocinski,,,@Azure/avm-ptn-mgmtgroups-subscriptionplacement-module-owners-bicep,@Azure/avm-ptn-mgmtgroups-subscriptionplacement-module-contributors-bicep,AVM Pattern Module for Management Groups - Subscription Placement,,2025-02
Azure Monitor Baseline Alerts (AMBA),,avm/ptn/monitoring/amba,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/monitoring/amba,br/public:avm/ptn/monitoring/amba:X.Y.Z,46d3xbcp.ptn.monitoring-amba,arjenhuitema,Arjen Huitema,,,@Azure/avm-ptn-monitoring-amba-module-owners-bicep,@Azure/avm-ptn-monitoring-amba-module-contributors-bicep,AVM Pattern Module for Azure Monitor Baseline Alerts (AMBA),,
Azure Monitor Baseline Alerts (AMBA) - ALZ,,avm/ptn/monitoring/amba-alz,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/monitoring/amba-alz,br/public:avm/ptn/monitoring/amba-alz:X.Y.Z,46d3xbcp.ptn.monitoring-ambaalz,arjenhuitema,Arjen Huitema,,,@Azure/avm-ptn-monitoring-ambaalz-module-owners-bicep,@Azure/avm-ptn-monitoring-ambaalz-module-contributors-bicep,AVM Pattern Module for Azure Monitor Baseline Alerts (AMBA) - ALZ,,
Hub Networking,,avm/ptn/network/hub-networking,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/network/hub-networking,br/public:avm/ptn/network/hub-networking:X.Y.Z,46d3xbcp.ptn.network-hubnetworking,hundredacres,Matt Schmitt,,,@Azure/avm-ptn-network-hubnetworking-module-owners-bicep,@Azure/avm-ptn-network-hubnetworking-module-contributors-bicep,AVM Pattern Module for Hub Networking,,2024-09
Private Link Private DNS Zones,,avm/ptn/network/private-link-private-dns-zones,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/network/private-link-private-dns-zones,br/public:avm/ptn/network/private-link-private-dns-zones:X.Y.Z,46d3xbcp.ptn.network-privatelinkprivatednszones,jtracey93,Jack Tracey,,,@Azure/avm-ptn-network-privatelinkprivatednszones-module-owners-bicep,@Azure/avm-ptn-network-privatelinkprivatednszones-module-contributors-bicep,AVM Pattern Module for Private Link Private DNS Zones,,2024-07
Virtual WAN,vWAN,avm/ptn/network/virtual-wan,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/network/virtual-wan,br/public:avm/ptn/network/virtual-wan:X.Y.Z,46d3xbcp.ptn.network-virtualwan,ericscheffler,Eric Scheffler,juancj,Juan Jimenez,@Azure/avm-ptn-network-virtualwan-module-owners-bicep,@Azure/avm-ptn-network-virtualwan-module-contributors-bicep,AVM Pattern Module for Virtual WAN,,
VNETs peered to Virtual WAN,,avm/ptn/network/vwan-connected-vnets,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/network/vwan-connected-vnets,br/public:avm/ptn/network/vwan-connected-vnets:X.Y.Z,46d3xbcp.ptn.network-vwanconnectedvnets,juancj,Juan Jimenez,ericscheffler,Eric Scheffler,@Azure/avm-ptn-network-vwanconnectedvnets-module-owners-bicep,@Azure/avm-ptn-network-vwanconnectedvnets-module-contributors-bicep,AVM Pattern Module for VNETs peered to Virtual WAN,,
Corporate Line of Business (LoB) ChatBot,,avm/ptn/openai/cognitive-search,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/openai/cognitive-search,br/public:avm/ptn/openai/cognitive-search:X.Y.Z,46d3xbcp.ptn.openai-cognitivesearch,andbron,Andrew Lambert,,,@Azure/avm-ptn-openai-cognitivesearch-module-owners-bicep,@Azure/avm-ptn-openai-cognitivesearch-module-contributors-bicep,AVM Pattern Module for Corporate Line of Business (LoB) ChatBot,,
Azure OpenAI End-to-End Baseline Implementation,,avm/ptn/openai/e2e-baseline,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/openai/e2e-baseline,br/public:avm/ptn/openai/e2e-baseline:X.Y.Z,46d3xbcp.ptn.openai-e2ebaseline,amillerb,Alexandra Miller-Browne,,,@Azure/avm-ptn-openai-e2ebaseline-module-owners-bicep,@Azure/avm-ptn-openai-e2ebaseline-module-contributors-bicep,AVM Pattern Module for Azure OpenAI End-to-End Baseline Implementation,,
Policy Insights Remediation,,avm/ptn/policy-insights/remediation,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/policy-insights/remediation,br/public:avm/ptn/policy-insights/remediation:X.Y.Z,46d3xbcp.ptn.policyinsights-remediation,donk-msft,Don Koning,,,@Azure/avm-ptn-policyinsights-remediation-module-owners-bicep,@Azure/avm-ptn-policyinsights-remediation-module-contributors-bicep,AVM Pattern Module for Policy Insights Remediation,,2024-04
SA - Chat with your data,Solution Accelerator - Chat with your data (CWYD),avm/ptn/sa/chat-with-your-data,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/sa/chat-with-your-data,br/public:avm/ptn/sa/chat-with-your-data:X.Y.Z,46d3xbcp.ptn.sa-chatwithyourdata,aldunson,Almicia Dunson,,,@Azure/avm-ptn-sa-chatwithyourdata-module-owners-bicep,@Azure/avm-ptn-sa-chatwithyourdata-module-contributors-bicep,AVM Pattern Module for SA - Chat with your data,,
SA - Content Processing,Solution Accelerator - Content Processing,avm/ptn/sa/content-processing,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/sa/content-processing,br/public:avm/ptn/sa/content-processing:X.Y.Z,46d3xbcp.ptn.sa-contentprocessing,brittneek,Brittnee Keller,,,@Azure/avm-ptn-sa-contentprocessing-module-owners-bicep,@Azure/avm-ptn-sa-contentprocessing-module-contributors-bicep,AVM Pattern Module for SA - Content Processing,,2025-07
SA - Conversation knowledge mining,Solution Accelerator - Conversation knowledge mining (CKM),avm/ptn/sa/conversation-knowledge-mining,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/sa/conversation-knowledge-mining,br/public:avm/ptn/sa/conversation-knowledge-mining:X.Y.Z,46d3xbcp.ptn.sa-convknowledgemining,alguadam,Alvaro Guadamillas Herranz,,,@Azure/avm-ptn-sa-conversationknowledgemining-module-owners-bicep,@Azure/avm-ptn-sa-conversationknowledgemining-module-contributors-bicep,AVM Pattern Module for SA - Conversation knowledge mining,,2025-03
SA - Modernize your code,Solution Accelerator - Modernize your code,avm/ptn/sa/modernize-your-code,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/sa/modernize-your-code,br/public:avm/ptn/sa/modernize-your-code:X.Y.Z,46d3xbcp.ptn.sa-modernizeyourcode,sethsteenken,Seth Steenken,,,@Azure/avm-ptn-sa-modernizeyourcode-module-owners-bicep,@Azure/avm-ptn-sa-modernizeyourcode-module-contributors-bicep,AVM Pattern Module for SA - Modernize your code,,2025-07
SA - Multi Agent Custom Automation Engine,Solution Accelerator - Multi Agent Custom Automation Engine,avm/ptn/sa/multi-agent-custom-automation-engine,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/sa/multi-agent-custom-automation-engine,br/public:avm/ptn/sa/multi-agent-custom-automation-engine:X.Y.Z,46d3xbcp.ptn.sa-multiagentcustauteng,alguadam,Alvaro Guadamillas Herranz,,,@Azure/avm-ptn-sa-multiagentcustomautomationengine-module-owners-bicep,@Azure/avm-ptn-sa-multiagentcustomautomationengine-module-contributors-bicep,AVM Pattern Module for SA - Multi Agent Custom Automation Engine,,2025-06
Azure Security Center (Defender for Cloud),,avm/ptn/security/security-center,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/security/security-center,br/public:avm/ptn/security/security-center:X.Y.Z,46d3xbcp.ptn.security-securitycenter,tony-box,Tony Box,,,@Azure/avm-ptn-security-securitycenter-module-owners-bicep,@Azure/avm-ptn-security-securitycenter-module-contributors-bicep,AVM Pattern Module for Azure Security Center (Defender for Cloud),,2024-04
Sentinel,,avm/ptn/security/sentinel,Proposed,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/security/sentinel,br/public:avm/ptn/security/sentinel:X.Y.Z,46d3xbcp.ptn.security-sentinel,hundredacres,Matt Schmitt,,,@Azure/avm-ptn-security-sentinel-module-owners-bicep,@Azure/avm-ptn-security-sentinel-module-contributors-bicep,AVM Pattern Module for Sentinel,,
Service Health Alerts,,avm/ptn/subscription/service-health-alerts,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/subscription/service-health-alerts,br/public:avm/ptn/subscription/service-health-alerts:X.Y.Z,46d3xbcp.ptn.subscription-svchealthalerts,sebassem,Seif Bassem,,,@Azure/avm-ptn-subscription-servicehealthalerts-module-owners-bicep,@Azure/avm-ptn-subscription-servicehealthalerts-module-contributors-bicep,AVM Pattern Module for Service Health Alerts,,2025-06
Custom Images using Azure Image Builder,,avm/ptn/virtual-machine-images/azure-image-builder,Available,https://github.com/Azure/bicep-registry-modules/tree/main/avm/ptn/virtual-machine-images/azure-image-builder,br/public:avm/ptn/virtual-machine-images/azure-image-builder:X.Y.Z,46d3xbcp.ptn.vmimages-azureimagebuilder,AlexanderSehr,Alexander Sehr,,,@Azure/avm-ptn-virtualmachineimages-azureimagebuilder-module-owners-bicep,@Azure/avm-ptn-virtualmachineimages-azureimagebuilder-module-contributors-bicep,AVM Pattern Module for Custom Images using Azure Image Builder,,2024-09
